review,kebersihan,linen,service,Gabungan,aspek
Tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat,pos,neut,neut,posneutneut,kebersihan
"hotelnya bersih dan nyaman, tp keyika masuk kamar sangat bau bekas asap rokok",pos,neut,neut,posneutneut,kebersihan
"Bersih,nyaman & asri. Cuma syg prnh airnya mati setengah hari & lokasinya bkn d jalan utama",pos,neut,neut,posneutneut,kebersihan
"Kamar bersih dan nyaman, sarapan minimalis, cuma 1 menu, air panas tidak berfungsi",pos,neut,neut,posneutneut,kebersihan
bersih tempatnya. saya suka. cuma air panasnya lagi macet kmrn.,pos,neut,neut,posneutneut,kebersihan
"Bersih, nyaman, tapi WiFi lola banget ",pos,neut,neut,posneutneut,kebersihan
"Kamar bagus,rapi,bersih dan wangi tapi sayang kamar yang saya tempati ac nya tdk dingin dan air panas nya juga makannya tidak enak dan porsi nya sudah di takar",pos,neut,neut,posneutneut,kebersihan
"bersih, kamar yg nyaman to kurang 1 yaitu WiFi yg Tidak bisa connect ",pos,neut,neut,posneutneut,kebersihan
kamar bersih namun air panas tidak teesedia,pos,neut,neut,posneutneut,kebersihan
"haha..keliatan kolam renang besar,gk tau buat anak2 kali ya...naik tangga lagi...kamarnya cukup luas dan bersih..cuma air di kamar mandi kecil. shower harus diganti...wifi gak ada...dapat kamarnya lt.3. naik tangga..bawa barang agak ngos2an. cuma untungnya ke mana2 dekat...",pos,neut,neut,posneutneut,kebersihan
nyamna dan bersih...tapi masa air panas baru dinyalain uda dingin lagi,pos,neut,neut,posneutneut,kebersihan
"kamar bersih dan nyaman, toilet bersih, hot shower tidak ada, sarapan enak, channel tv (hampir) semua tidak bagus butuh perbaikan antena/saluran",pos,neut,neut,posneutneut,kebersihan
"lumayan lah buat harga penginapan yg ga terlalu mahal untuk tempat ditengah kota. tempatnya bersih, gak bising. cocok buat istirahat. tapi saran aja nih yaa, tv nya terlalu tinggi. jadi gabisa ditonton. gambarnya kayak gelep gitu, hehe. over all sih nyaman. wifi nya ga ada tapi,hiks. buat anak kuliahan yg mau traveling, dan backpaker reccomended nih. dibawah juga ada tempat laundry an nya. lumayan sambil tidur bisa sambil nunggu baju di laundry, hihi. kemaren siih aku kesana pesen kamar buat org 2, tapi temennya ga jadi karna ketinggalan pesawat. jadi sendirian, sepi, hening :) ",pos,neut,neut,posneutneut,kebersihan
Kamar bersih dan nyaman. cuman sayang air panasnya mati dan mohon untuk memberikan petunjuk arah kiblat agar memudahkan muslim menjalankan sholat. Selebihnya good service.. thanks airy 🙏,pos,neut,neut,posneutneut,kebersihan
"Kualitas tempat baik & bersih, hanya yang perlu dibenahi wifi nya. Soalnya sinyal hape disini jelek",pos,neut,neut,posneutneut,kebersihan
"Kamar OK, bersih, rapi dan fasilitas OK. Hanya AC yang tidak bisa dingin, walaupun sudah di setting suhu rendah dan Fan Jetfan. Mohon diperbaiki. Overall OK. Terima kasih",pos,neut,neut,posneutneut,kebersihan
"Balkon banyak puntung rokok, wifi ga bisa alasannya karena kamar dipojok, kunci toilet nya rusak. tapi kamar nya bersih dan tenang. Harga bersahabat. ",pos,neut,neut,posneutneut,kebersihan
"Hotelnya bersih, bagus, tapi dikamar yg di dapet hot shower nya rusak, jadi gak bisa mandi air panas, tapi overall oke ",pos,neut,neut,posneutneut,kebersihan
tempatnya tenang..bersih dan nyaman. air panas/ shower di stabilin lg,pos,neut,neut,posneutneut,kebersihan
"kamarnya bersih, tp sayang wifinya tidak sampai kekamar dan tayangan televisinya burem(gambarnya tidak jernih hampir smua chanel)",pos,neut,neut,posneutneut,kebersihan
"Kamar bersih,  rapih,  tapi kamar mandi suka bau tiba tiba.  Semoga kedepannya lebih baik.  Over all Oke ",pos,neut,neut,posneutneut,kebersihan
"Kamar bersih, nyaman. Hanya saja air panas tidak berfungsi saat saya menginap. Mohon diperbaiki.",pos,neut,neut,posneutneut,kebersihan
kamar mandi bersih tapi kurang wangi,pos,neut,neut,posneutneut,kebersihan
"Kamarnya bersih dan unik, tapi sayang posisi tempat tidurnya diatas gitu, jd stiap ketinggalan barang harus naik dlu, trus kalau ke toilet hrus trun tangga. Naik turun tangganya bkin capek. Trus pas awal dtang AC g dingin trus tanya mba disana katanya rusak, tunggu service nya datang, pas tukang service datang ternyata AC nya g rusak.",pos,neut,neut,posneutneut,kebersihan
kamar bersih & rapi..tapi sayang hot water nya nggak berfungsi dan suasananya gelap dan sepi..,pos,neut,neut,posneutneut,kebersihan
Nyaman & lumayan bersih. Menurut saya menu sarapan kurang bervariasi dan hot spot wifi perlu ditambah.,pos,neut,neut,posneutneut,kebersihan
"kamar nya bersih, tempat nya nyaman, toilet nya ya lumayan bersih, cuma kloset air nya rusak, hanya kendala di kloset dan air panas untuk di lantai 1. trims airy ",pos,neut,neut,posneutneut,kebersihan
